date,etl_timestamp,NO_UNKNOWN,Yes
2020-05-23,2020-09-07 17:20:02,163,33
2020-05-12,2020-09-07 17:20:02,199,49
2020-06-13,2020-09-07 17:20:02,81,18
2020-05-01,2020-09-07 17:20:02,315,104
2020-05-19,2020-09-07 17:20:02,210,48
2020-03-24,2020-09-07 17:20:02,79,38
2020-03-23,2020-09-07 17:20:02,53,18
2020-04-08,2020-09-07 17:20:02,440,139
2020-05-25,2020-09-07 17:20:02,100,29
2020-07-26,2020-09-07 17:20:02,81,12
2020-05-06,2020-09-07 17:20:02,302,58
2020-07-27,2020-09-07 17:20:02,136,29
2020-07-02,2020-09-07 17:20:02,105,16
2020-07-28,2020-09-07 17:20:02,112,NA
2020-09-05,2020-09-07 17:20:02,56,NA
2020-08-09,2020-09-07 17:20:02,99,14
2020-04-01,2020-09-07 17:20:02,306,115
2020-06-28,2020-09-07 17:20:02,79,16
2020-08-01,2020-09-07 17:20:02,54,13
2020-07-06,2020-09-07 17:20:02,96,19
2020-04-12,2020-09-07 17:20:02,301,117
2020-07-16,2020-09-07 17:20:02,132,14
2020-07-30,2020-09-07 17:20:02,130,6
2020-06-27,2020-09-07 17:20:02,97,15
2020-08-17,2020-09-07 17:20:02,76,12
2020-07-25,2020-09-07 17:20:02,133,8
2020-08-08,2020-09-07 17:20:02,85,9
2020-04-26,2020-09-07 17:20:02,114,93
2020-08-31,2020-09-07 17:20:02,112,NA
2020-07-22,2020-09-07 17:20:02,194,10
2020-06-30,2020-09-07 17:20:02,116,13
2020-08-11,2020-09-07 17:20:02,152,14
2020-06-03,2020-09-07 17:20:02,114,33
2020-08-26,2020-09-07 17:20:02,113,6
2020-05-27,2020-09-07 17:20:02,144,43
2020-08-14,2020-09-07 17:20:02,122,7
2020-05-07,2020-09-07 17:20:02,253,59
2020-07-12,2020-09-07 17:20:02,72,16
2020-07-19,2020-09-07 17:20:02,96,9
2020-08-19,2020-09-07 17:20:02,115,5
2020-08-10,2020-09-07 17:20:02,99,11
2020-06-02,2020-09-07 17:20:02,110,23
2020-08-07,2020-09-07 17:20:02,93,9
2020-05-26,2020-09-07 17:20:02,194,28
2020-07-09,2020-09-07 17:20:02,102,12
2020-08-29,2020-09-07 17:20:02,115,5
2020-07-18,2020-09-07 17:20:02,101,16
2020-08-16,2020-09-07 17:20:02,84,11
2020-05-30,2020-09-07 17:20:02,108,19
2020-05-18,2020-09-07 17:20:02,153,29
2020-06-04,2020-09-07 17:20:02,63,22
2020-07-13,2020-09-07 17:20:02,117,21
2020-05-15,2020-09-07 17:20:02,215,49
2020-03-21,2020-09-07 17:20:02,44,9
2020-07-24,2020-09-07 17:20:02,193,20
2020-04-25,2020-09-07 17:20:02,227,102
2020-04-05,2020-09-07 17:20:02,313,98
2020-08-27,2020-09-07 17:20:02,138,9
2020-08-15,2020-09-07 17:20:02,99,7
2020-08-05,2020-09-07 17:20:02,131,9
2020-07-11,2020-09-07 17:20:02,83,16
2020-05-22,2020-09-07 17:20:02,169,33
2020-09-06,2020-09-07 17:20:02,43,NA
2020-06-26,2020-09-07 17:20:02,72,16
2020-08-23,2020-09-07 17:20:02,54,5
2020-05-20,2020-09-07 17:20:02,172,22
2020-04-24,2020-09-07 17:20:02,386,106
2020-06-01,2020-09-07 17:20:02,76,27
2020-04-10,2020-09-07 17:20:02,450,128
2020-06-29,2020-09-07 17:20:02,114,14
2020-04-27,2020-09-07 17:20:02,321,110
2020-04-02,2020-09-07 17:20:02,242,120
2020-04-22,2020-09-07 17:20:02,422,111
2020-08-12,2020-09-07 17:20:02,196,5
2020-06-17,2020-09-07 17:20:02,126,19
2020-06-18,2020-09-07 17:20:02,91,9
2020-07-17,2020-09-07 17:20:02,175,25
2020-07-10,2020-09-07 17:20:02,96,16
2020-06-22,2020-09-07 17:20:02,100,8
2020-04-13,2020-09-07 17:20:02,146,108
2020-06-25,2020-09-07 17:20:02,110,14
2020-07-31,2020-09-07 17:20:02,132,17
2020-06-07,2020-09-07 17:20:02,70,19
2020-05-09,2020-09-07 17:20:02,186,40
2020-04-14,2020-09-07 17:20:02,261,120
2020-06-12,2020-09-07 17:20:02,80,25
2020-07-21,2020-09-07 17:20:02,143,13
2020-05-03,2020-09-07 17:20:02,119,50
2020-04-04,2020-09-07 17:20:02,435,118
2020-06-09,2020-09-07 17:20:02,120,22
2020-04-17,2020-09-07 17:20:02,469,130
2020-07-05,2020-09-07 17:20:02,69,11
2020-07-01,2020-09-07 17:20:02,140,19
2020-04-29,2020-09-07 17:20:02,422,103
2020-08-04,2020-09-07 17:20:02,94,9
NA,2020-09-07 17:20:02,36,10
2020-05-02,2020-09-07 17:20:02,235,72
2020-04-18,2020-09-07 17:20:02,197,78
2020-05-31,2020-09-07 17:20:02,81,31
2020-04-16,2020-09-07 17:20:02,382,144
2020-06-21,2020-09-07 17:20:02,53,13
2020-08-18,2020-09-07 17:20:02,115,10
2020-07-15,2020-09-07 17:20:02,150,9
2020-03-25,2020-09-07 17:20:02,129,40
2020-03-26,2020-09-07 17:20:02,129,66
2020-04-03,2020-09-07 17:20:02,381,131
2020-06-08,2020-09-07 17:20:02,89,21
2020-04-30,2020-09-07 17:20:02,337,99
2020-03-28,2020-09-07 17:20:02,105,41
2020-04-23,2020-09-07 17:20:02,423,151
2020-03-31,2020-09-07 17:20:02,275,87
2020-03-17,2020-09-07 17:20:02,13,NA
2020-03-22,2020-09-07 17:20:02,38,13
2020-03-29,2020-09-07 17:20:02,162,53
2020-06-05,2020-09-07 17:20:02,98,21
2020-06-10,2020-09-07 17:20:02,93,21
2020-05-21,2020-09-07 17:20:02,283,37
2020-04-19,2020-09-07 17:20:02,170,93
2020-07-03,2020-09-07 17:20:02,116,12
2020-08-28,2020-09-07 17:20:02,126,NA
2020-03-18,2020-09-07 17:20:02,7,NA
2020-05-13,2020-09-07 17:20:02,191,54
2020-04-09,2020-09-07 17:20:02,440,143
2020-05-08,2020-09-07 17:20:02,292,65
2020-07-29,2020-09-07 17:20:02,134,19
2020-06-14,2020-09-07 17:20:02,45,15
2020-07-23,2020-09-07 17:20:02,206,14
2020-07-14,2020-09-07 17:20:02,128,16
2020-04-28,2020-09-07 17:20:02,373,99
2020-08-02,2020-09-07 17:20:02,74,11
2020-04-15,2020-09-07 17:20:02,446,161
2020-08-25,2020-09-07 17:20:02,99,NA
2020-05-04,2020-09-07 17:20:02,291,82
2020-06-16,2020-09-07 17:20:02,75,13
2020-06-19,2020-09-07 17:20:02,108,13
2020-07-20,2020-09-07 17:20:02,109,16
2020-08-30,2020-09-07 17:20:02,79,NA
2020-05-28,2020-09-07 17:20:02,176,34
2020-08-13,2020-09-07 17:20:02,99,NA
2020-09-02,2020-09-07 17:20:02,123,NA
2020-05-24,2020-09-07 17:20:02,151,26
2020-06-24,2020-09-07 17:20:02,114,16
2020-03-14,2020-09-07 17:20:02,5,NA
2020-05-29,2020-09-07 17:20:02,179,27
2020-08-24,2020-09-07 17:20:02,76,6
2020-05-11,2020-09-07 17:20:02,188,58
2020-05-05,2020-09-07 17:20:02,280,88
2020-05-16,2020-09-07 17:20:02,144,22
2020-06-20,2020-09-07 17:20:02,105,19
2020-04-07,2020-09-07 17:20:02,374,139
2020-03-27,2020-09-07 17:20:02,173,50
2020-08-06,2020-09-07 17:20:02,147,15
2020-09-01,2020-09-07 17:20:02,202,NA
2020-07-08,2020-09-07 17:20:02,108,13
2020-06-15,2020-09-07 17:20:02,74,21
2020-08-21,2020-09-07 17:20:02,80,12
2020-04-20,2020-09-07 17:20:02,364,128
2020-06-11,2020-09-07 17:20:02,86,18
2020-03-20,2020-09-07 17:20:02,24,8
2020-03-19,2020-09-07 17:20:02,27,5
2020-04-11,2020-09-07 17:20:02,294,123
2020-05-10,2020-09-07 17:20:02,98,25
2020-06-06,2020-09-07 17:20:02,62,22
2020-09-03,2020-09-07 17:20:02,88,NA
2020-08-20,2020-09-07 17:20:02,105,8
2020-07-07,2020-09-07 17:20:02,124,15
2020-07-04,2020-09-07 17:20:02,57,12
2020-05-17,2020-09-07 17:20:02,109,33
2020-04-06,2020-09-07 17:20:02,421,134
2020-06-23,2020-09-07 17:20:02,134,21
2020-04-21,2020-09-07 17:20:02,397,112
2020-03-30,2020-09-07 17:20:02,169,72
2020-08-22,2020-09-07 17:20:02,79,NA
2020-09-04,2020-09-07 17:20:02,84,NA
2020-08-03,2020-09-07 17:20:02,81,9
2020-05-14,2020-09-07 17:20:02,219,45
